ID,Paved Drive,BsmtExposure,BsmtUnfinishedArea,ProximityToMainRoad2,KitchenQuality,SaleCondition,LivingArea,Lot Config,FenceQuality,SaleType,HalfBaths,Neighborhood,HeatingQuality,LotFrontage,RoofMaterial,Exterior1,Foundation,HouseType,YearRemodelled,MasVnrArea,Misc Feature,GarageFinish,ExteriorQual,UtilitiesAvailable,HouseStyle,MasVnrType,FireplaceQuality,EnclosedPorchArea,BsmtCondition,PoolSize,BsmtHeight,BsmtFullBaths,ScreenPorchArea,Misc,BsmtFinishType2,TotalRooms,YearBuilt,YearSold,BsmtFinish2Area,PoolQuality,OpenPorchArea,Fireplaces,RoofType,Functional,ExteriorCond,GarageCondition,TotalBsmtArea,Electrical,SeasonPorchArea,LowQualityFinishArea,ProximityToMainRoad,BsmtHalfBaths,GarageQuality,WoodDeckArea,ZoningClass,Bedrooms,TypeOfAlleyAccess,FullBaths,OverallRating,BsmtFinishType1,TypeOfRoadAccess,MonthSold,GarageCars,Shape,Flatness,HeatingType,Central Air,SlopeOfProperty,Exterior2,GarageArea,BsmtFinish1Area,Quality,GarageType,LotSize,Kitchens,GarageYearBuilt,BuildingClass,2ndFloorArea,1stFloorArea,SalePrice
10,Y,No,444,Norm,TA,Normal,3082,Corner,,WD,1,SWISU,Ex,102.0,CompShg,Wd Sdng,BrkTil,1Fam,1970,0.0,,Fin,TA,AllPub,2.5Fin,None,TA,0,TA,0,TA,1,0,0,Unf,12,1920,2009,0,,63,2,Gable,Typ,TA,TA,1031,SBrkr,0,397,Norm,0,TA,136,RL,5,,2,3,GLQ,Pave,8,2.0,Reg,Lvl,GasA,Y,Gtl,Plywood,672.0,587,7,Basment,15863,1,1970.0,75,1250,2731,234928.0
11,Y,Gd,146,Norm,TA,Normal,1235,CulDSac,,WD,0,Greens,Gd,,CompShg,Wd Sdng,CBlock,Twnhs,1980,0.0,,Fin,Gd,AllPub,1Story,None,TA,0,TA,0,Gd,1,0,0,LwQ,4,1980,2006,223,,78,3,Gable,Typ,TA,TA,1442,SBrkr,0,0,Norm,0,TA,133,RL,1,,1,5,GLQ,Pave,5,2.0,IR1,Lvl,GasA,Y,Gtl,Wd Sdng,484.0,1073,8,Attchd,3760,1,1980.0,120,252,2279,253743.0
12,Y,No,583,Norm,TA,Normal,1288,Corner,,WD,0,SWISU,TA,51.0,CompShg,Wd Sdng,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,1.5Fin,None,,0,Fa,0,Fa,0,0,0,Unf,6,1941,2006,0,,0,0,Gable,Typ,TA,TA,1031,SBrkr,0,0,Norm,0,TA,0,RL,4,,1,4,LwQ,Pave,11,1.0,Reg,Lvl,GasA,N,Gtl,Wd Sdng,240.0,448,5,Detchd,6191,1,1941.0,50,716,1868,141712.0
13,N,No,900,Norm,Fa,Normal,693,Corner,,WD,0,OldTown,Fa,153.0,CompShg,Wd Sdng,CBlock,1Fam,1950,0.0,,,TA,AllPub,1Story,None,,0,TA,0,TA,0,0,0,Unf,4,1941,2006,0,,20,0,Gable,Typ,TA,,900,FuseA,0,0,Feedr,0,,0,RM,2,Grvl,1,4,Unf,Pave,3,0.0,IR1,Bnk,Grav,N,Mod,Wd Sdng,0.0,0,4,,4118,1,,30,252,1737,76001.0
14,Y,No,102,Norm,TA,Normal,1641,Corner,GdPrv,WD,0,Sawyer,TA,70.0,CompShg,HdBoard,CBlock,1Fam,1972,0.0,,Unf,TA,AllPub,1.5Fin,None,Gd,92,TA,0,Gd,0,0,0,ALQ,5,1972,2008,852,,0,1,Gable,Typ,Gd,TA,1208,SBrkr,0,0,Feedr,0,TA,0,RL,4,,2,4,LwQ,Pave,7,2.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,490.0,254,5,Detchd,10759,1,1972.0,50,892,2045,172444.0
15,Y,No,1142,Norm,TA,Normal,1196,Inside,,WD,0,IDOTRR,Ex,40.0,CompShg,MetalSd,CBlock,1Fam,1990,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,1,0,0,Unf,5,1916,2007,0,,0,0,Gable,Typ,TA,TA,1403,FuseA,0,0,Norm,0,TA,0,RM,2,,1,7,LwQ,Pave,7,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,440.0,261,4,Detchd,4800,1,1957.0,30,252,2240,139366.0
16,Y,Gd,323,Norm,Ex,Partial,2798,CulDSac,,New,1,StoneBr,Ex,59.0,CompShg,VinylSd,PConc,1Fam,2006,600.0,,Fin,Gd,AllPub,2Story,BrkFace,Gd,0,TA,0,Ex,1,0,0,Unf,11,2005,2006,0,,37,1,Hip,Typ,Ex,TA,1605,SBrkr,0,0,Norm,0,TA,182,RL,3,,3,5,GLQ,Pave,3,3.0,IR1,HLS,GasA,Y,Gtl,VinylSd,670.0,1282,9,BuiltIn,16023,1,2005.0,60,1636,2458,521377.0
17,Y,No,102,Norm,Gd,Normal,1873,Inside,GdPrv,WD,1,SawyerW,Ex,,CompShg,HdBoard,PConc,1Fam,1988,360.0,,RFn,Gd,AllPub,2Story,BrkFace,TA,0,TA,0,Gd,1,144,0,LwQ,7,1988,2007,362,,48,1,Gable,Typ,TA,TA,1136,SBrkr,0,0,Norm,0,TA,108,RL,3,,2,5,GLQ,Pave,5,2.0,IR1,Lvl,GasA,Y,Gtl,HdBoard,619.0,672,7,Attchd,8883,1,1988.0,60,1179,1990,246141.0
18,Y,No,548,Norm,Gd,Normal,1405,Inside,,WD,0,NridgHt,Ex,48.0,CompShg,VinylSd,PConc,TwnhsE,2003,235.0,,RFn,Gd,AllPub,1Story,Stone,Gd,0,TA,0,Gd,1,0,0,Unf,6,2003,2007,0,,36,1,Gable,Typ,TA,TA,1612,SBrkr,0,0,Norm,0,TA,136,RL,2,,2,5,GLQ,Pave,3,2.0,Reg,Lvl,GasA,Y,Gtl,Wd Shng,478.0,1064,7,Attchd,3242,1,2003.0,120,252,2449,238417.0
19,Y,Mn,346,Norm,Gd,Normal,1200,Corner,MnPrv,WD,1,NAmes,Gd,71.0,CompShg,MetalSd,CBlock,1Fam,1998,166.0,,Unf,TA,AllPub,1Story,BrkFace,,0,TA,0,TA,1,0,0,Unf,6,1965,2006,0,,64,0,Hip,Typ,TA,TA,1071,SBrkr,0,0,Feedr,0,TA,0,RL,1,,1,8,GLQ,Pave,10,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,884.0,725,5,Detchd,9230,1,1977.0,20,252,2244,178857.0
20,Y,Gd,268,Norm,Gd,Partial,1646,Inside,,New,0,Timber,Ex,71.0,CompShg,VinylSd,PConc,1Fam,2008,338.0,,RFn,Gd,AllPub,1Story,Stone,Gd,0,TA,0,Gd,1,0,0,Unf,7,2007,2008,0,,44,1,Gable,Typ,TA,TA,1845,SBrkr,0,0,Norm,0,TA,192,RL,3,,2,5,GLQ,Pave,4,3.0,IR1,HLS,GasA,Y,Gtl,VinylSd,800.0,1577,8,Attchd,9520,1,2008.0,20,252,2690,340793.0
21,Y,No,783,Norm,TA,Normal,1057,Inside,,WD,0,Sawyer,TA,70.0,CompShg,MetalSd,CBlock,1Fam,1962,0.0,,Fin,TA,AllPub,1Story,None,,0,TA,0,TA,0,0,0,Unf,6,1962,2007,0,,0,0,Hip,Typ,TA,TA,1264,SBrkr,0,0,Norm,0,TA,0,RL,3,,1,5,Rec,Pave,4,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,576.0,481,5,Detchd,7420,1,1977.0,20,252,2101,163589.0
22,N,No,1168,Norm,TA,Abnorml,1077,Corner,,WD,0,IDOTRR,Gd,60.0,CompShg,MetalSd,BrkTil,1Fam,1950,0.0,,Unf,TA,AllPub,1Story,None,,0,Po,0,Fa,0,0,0,Unf,6,1920,2007,0,,0,0,Gable,Maj2,Fa,Po,1168,Mix,0,0,Norm,0,Po,0,RM,2,,1,2,Unf,Pave,11,1.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,338.0,0,5,Detchd,8967,1,1920.0,30,252,2121,91938.0
23,Y,No,1058,Norm,Gd,Normal,1718,Inside,GdPrv,WD,1,Crawfor,Gd,60.0,CompShg,VinylSd,BrkTil,1Fam,1992,0.0,,Unf,TA,AllPub,2.5Unf,None,TA,60,TA,0,TA,0,153,0,Unf,8,1927,2007,0,,0,1,Gable,Typ,TA,TA,1058,SBrkr,0,0,Norm,0,TA,291,RL,4,,2,7,Unf,Pave,10,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,264.0,0,7,Detchd,7230,1,1927.0,70,1103,1911,280184.0
24,Y,Gd,554,Norm,Gd,Normal,1302,Inside,MnPrv,CWD,0,NAmes,Ex,85.0,CompShg,HdBoard,CBlock,1Fam,1991,108.0,,RFn,TA,AllPub,SLvl,BrkFace,,0,TA,0,Gd,0,0,0,ALQ,7,1964,2007,621,,0,0,Hip,Min1,TA,TA,1509,SBrkr,0,0,Norm,1,TA,333,RL,3,,2,7,LwQ,Pave,10,1.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,309.0,334,6,Attchd,9350,1,1964.0,80,252,2346,192167.0
25,N,No,966,Norm,TA,Normal,864,Inside,,WD,0,Edwards,TA,45.0,CompShg,Stucco,BrkTil,1Fam,1950,0.0,,,TA,AllPub,1Story,None,,100,TA,0,TA,1,0,0,Unf,5,1914,2008,0,,0,0,Gable,Typ,TA,,1071,FuseF,0,0,Norm,0,,0,RL,2,Grvl,1,3,BLQ,Pave,9,0.0,Reg,Lvl,GasA,N,Gtl,Stucco,0.0,105,3,,8248,1,,30,252,1908,91926.0
26,Y,Av,327,Norm,TA,Normal,1003,CulDSac,GdPrv,WD,0,Mitchel,TA,37.0,CompShg,HdBoard,CBlock,1Fam,1984,0.0,,Unf,TA,AllPub,SLvl,None,,0,TA,0,TA,1,0,0,Unf,6,1984,2006,0,,0,0,Gable,Typ,TA,TA,1210,SBrkr,0,0,Norm,0,TA,120,RL,3,,1,6,GLQ,Pave,3,2.0,IR1,Lvl,GasA,Y,Gtl,HdBoard,588.0,883,6,Detchd,7937,1,1984.0,80,252,2047,175258.0
27,Y,No,407,Norm,TA,Normal,864,FR2,MnWw,COD,0,NAmes,TA,,CompShg,MetalSd,CBlock,1Fam,1972,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,0,0,0,Unf,5,1972,2008,0,,0,0,Hip,Typ,TA,TA,1071,SBrkr,0,0,Norm,0,TA,216,RL,3,,1,5,BLQ,Pave,4,2.0,IR1,Lvl,GasA,Y,Gtl,MetalSd,576.0,664,4,Detchd,12735,1,1980.0,20,252,1908,140871.0
28,Y,No,748,Norm,TA,Normal,1664,Corner,,WD,0,BrkSide,Ex,50.0,CompShg,CemntBd,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,1.5Fin,None,Gd,36,TA,0,TA,0,0,0,Unf,7,1947,2006,0,,24,2,Gable,Typ,Gd,TA,1211,SBrkr,0,0,Feedr,0,TA,0,RM,3,,2,7,ALQ,Pave,10,2.0,Reg,Lvl,GasA,Y,Gtl,CmentBd,420.0,463,6,Detchd,5000,1,1950.0,50,912,2048,193486.0
29,Y,Av,1737,Norm,Gd,Partial,1614,Inside,,New,0,CollgCr,Ex,86.0,CompShg,VinylSd,PConc,1Fam,2006,240.0,,RFn,Gd,AllPub,1Story,BrkFace,,0,TA,0,Gd,0,0,0,Unf,7,2005,2006,0,,59,0,Gable,Typ,TA,TA,1821,SBrkr,0,0,Norm,0,TA,144,RL,3,,2,5,GLQ,Pave,7,3.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,865.0,84,7,Attchd,11210,1,2005.0,20,252,2658,262022.0
30,Y,No,1215,Norm,TA,Normal,1028,Inside,,WD,0,OldTown,Gd,56.0,CompShg,WdShing,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,1Story,None,Gd,130,TA,0,TA,0,0,0,Unf,5,1927,2010,0,,0,1,Gable,Typ,TA,TA,1215,FuseA,0,0,Artery,0,TA,0,RM,2,Grvl,1,6,Unf,Pave,3,2.0,Reg,Lvl,GasA,Y,Gtl,Wd Shng,360.0,0,5,Detchd,8960,1,1927.0,30,252,2072,144942.0
31,Y,Av,553,Norm,TA,Abnorml,1125,Inside,GdWo,WD,0,Edwards,Ex,72.0,CompShg,MetalSd,CBlock,1Fam,1976,255.0,,Unf,TA,AllPub,SLvl,BrkFace,Fa,0,TA,0,TA,1,0,0,Unf,6,1976,2009,0,,0,1,Hip,Typ,TA,TA,1248,SBrkr,0,0,Norm,0,TA,296,RL,3,,1,6,ALQ,Pave,10,1.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,352.0,695,6,Detchd,7200,1,1977.0,80,252,2169,155931.0
32,N,Mn,922,Norm,TA,Normal,715,Inside,,WD,0,NAmes,Fa,60.0,CompShg,Wd Sdng,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,1Story,None,,75,TA,0,TA,0,112,0,Unf,4,1929,2006,0,,0,0,Hip,Typ,Fa,TA,922,FuseP,0,0,Artery,0,Fa,0,RL,2,Grvl,1,3,Unf,Pave,8,2.0,Reg,Lvl,GasA,N,Gtl,Wd Sdng,660.0,0,3,Detchd,10914,1,1967.0,30,252,1759,93071.0
33,Y,No,314,Norm,TA,Normal,1060,Inside,,WD,0,BrkSide,TA,55.0,CompShg,MetalSd,PConc,1Fam,1994,0.0,,Unf,TA,AllPub,1Story,None,Gd,0,TA,0,TA,1,150,0,Rec,6,1925,2007,268,,65,1,Gable,Mod,Gd,TA,963,FuseA,0,0,Norm,0,Fa,0,RL,1,,1,7,LwQ,Pave,8,1.0,Reg,Bnk,GasA,N,Mod,MetalSd,308.0,381,5,Detchd,6854,1,1969.0,40,396,1960,168690.0
34,Y,Av,574,Norm,Gd,Normal,2622,Corner,,WD,1,NoRidge,Ex,98.0,CompShg,HdBoard,PConc,1Fam,1995,362.0,,RFn,Gd,AllPub,2Story,BrkFace,TA,0,TA,0,Ex,1,0,0,Unf,9,1994,2010,0,,32,2,Gable,Typ,TA,TA,1670,SBrkr,0,0,Norm,0,TA,186,RL,3,,2,5,GLQ,Pave,4,2.0,IR1,Lvl,GasA,Y,Gtl,HdBoard,712.0,1096,8,Attchd,12256,1,1994.0,60,1374,2544,375782.0
35,Y,No,396,Norm,Gd,Normal,2110,Inside,,WD,1,SawyerW,Ex,,CompShg,VinylSd,PConc,1Fam,2002,0.0,,RFn,Gd,AllPub,2Story,None,Fa,0,TA,0,Gd,1,0,0,Unf,8,1994,2010,0,,130,2,Gable,Typ,TA,TA,1155,SBrkr,0,0,Norm,0,TA,0,RL,3,,2,5,GLQ,Pave,5,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,463.0,759,7,Attchd,8880,1,1994.0,60,1140,2266,244028.0
36,Y,Av,132,Norm,TA,Normal,1040,Inside,MnPrv,WD,0,Sawyer,TA,,CompShg,HdBoard,CBlock,1Fam,1966,442.0,,RFn,TA,AllPub,1Story,BrkFace,,0,TA,0,TA,1,0,0,BLQ,6,1966,2007,802,,90,0,Gable,Typ,TA,TA,1247,SBrkr,0,0,Norm,0,TA,0,RL,3,,1,4,Rec,Pave,2,1.0,IR1,Lvl,GasA,Y,Gtl,HdBoard,264.0,313,5,Attchd,11677,1,1966.0,20,252,2084,153632.0
37,Y,No,493,Norm,TA,Normal,1008,Inside,MnPrv,WD,0,NAmes,Ex,66.0,CompShg,MetalSd,CBlock,1Fam,2003,0.0,,RFn,TA,AllPub,1Story,None,,0,TA,0,TA,1,0,0,Unf,4,1952,2006,0,,154,0,Gable,Typ,TA,TA,1215,FuseA,0,0,Norm,0,TA,0,RL,2,,1,6,GLQ,Pave,1,1.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,280.0,722,5,Attchd,12778,1,1952.0,20,252,2052,171636.0
38,Y,Av,148,Norm,TA,Normal,1000,Inside,,WD,0,ClearCr,Ex,87.0,Tar&Grv,WdShing,CBlock,1Fam,1963,0.0,,Unf,TA,AllPub,1Story,None,TA,148,TA,0,Gd,1,0,0,ALQ,4,1963,2006,891,,0,2,Flat,Typ,TA,TA,1207,SBrkr,0,0,Norm,0,TA,238,RL,1,,1,6,Rec,Pave,4,2.0,Reg,Low,GasA,Y,Mod,Wd Shng,575.0,168,5,Attchd,13050,1,1993.0,20,252,2044,198714.0
39,Y,No,456,Norm,TA,Normal,1144,Inside,,WD,0,NAmes,TA,73.0,CompShg,Wd Sdng,CBlock,1Fam,1956,164.0,,RFn,Gd,AllPub,1Story,BrkFace,,0,TA,0,TA,1,0,0,Unf,6,1956,2009,0,,0,0,Gable,Typ,TA,TA,1376,SBrkr,0,0,Norm,0,TA,257,RL,3,,1,7,ALQ,Pave,6,1.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,286.0,920,5,Attchd,8760,1,1956.0,20,252,2188,183407.0
40,Y,No,835,Norm,Gd,Partial,1356,Inside,,New,1,CollgCr,Ex,65.0,CompShg,VinylSd,PConc,1Fam,2007,0.0,,Fin,Gd,AllPub,2Story,None,Gd,0,TA,0,Gd,0,0,0,Unf,6,2007,2008,0,,24,1,Gable,Typ,TA,TA,835,SBrkr,0,0,Norm,0,TA,100,RL,3,,2,5,Unf,Pave,3,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,484.0,0,7,BuiltIn,10616,1,2007.0,60,980,1672,213453.0
41,Y,Av,755,Norm,TA,Normal,1470,Corner,,WD,0,Gilbert,Gd,,CompShg,VinylSd,PConc,1Fam,1997,0.0,,Fin,TA,AllPub,2Story,None,,0,TA,0,Gd,0,0,0,Unf,6,1997,2007,0,,75,0,Gable,Typ,TA,TA,1001,SBrkr,0,0,Norm,1,TA,0,RL,3,,2,6,GLQ,Pave,7,2.0,IR2,Lvl,GasA,Y,Gtl,VinylSd,388.0,246,6,Attchd,13869,1,1997.0,60,928,1838,213192.0
42,Y,No,991,Norm,TA,Normal,1312,Inside,,WD,1,NAmes,Ex,50.0,CompShg,VinylSd,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,1.5Fin,None,,0,TA,0,TA,0,0,0,Unf,6,1947,2006,0,,28,0,Gable,Typ,TA,TA,991,FuseA,0,0,Norm,0,TA,0,RL,3,,1,6,Unf,Pave,10,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,649.0,0,6,Detchd,7500,1,1953.0,50,664,1944,157963.0
43,Y,,0,Norm,Gd,Normal,1922,Corner,,ConLD,0,Edwards,Ex,64.0,CompShg,HdBoard,Slab,1Fam,2003,500.0,,RFn,Gd,AllPub,SFoyer,BrkFace,Ex,177,,0,,0,0,0,,7,2003,2009,0,,0,1,Gable,Typ,TA,TA,0,SBrkr,0,0,Norm,0,TA,0,RL,4,,3,5,,Pave,7,2.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,672.0,0,7,BuiltIn,7301,1,2003.0,85,1616,1539,236770.0
44,Y,No,143,Norm,TA,Normal,1336,Inside,,COD,1,IDOTRR,Gd,60.0,CompShg,MetalSd,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,1.5Fin,None,,120,TA,0,TA,0,0,0,Unf,7,1920,2006,0,,47,0,Gable,Typ,TA,TA,844,SBrkr,0,0,Norm,0,TA,0,C (all),3,,1,6,Rec,Pave,9,1.0,Reg,Low,GasA,Y,Mod,MetalSd,570.0,701,4,CarPort,11040,1,1994.0,50,691,1941,137030.0
45,Y,No,169,Norm,TA,Normal,1482,Inside,,WD,0,OldTown,Ex,50.0,CompShg,VinylSd,PConc,1Fam,1988,0.0,,Unf,TA,AllPub,2Story,None,,0,TA,0,TA,0,0,0,Unf,7,1920,2009,0,,0,0,Hip,Typ,Gd,TA,857,SBrkr,0,0,Artery,1,TA,0,RM,3,,1,9,ALQ,Pave,7,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,324.0,688,7,Detchd,9000,1,1930.0,70,902,1876,175562.0
46,Y,No,486,Norm,Ex,Normal,1659,Inside,,WD,0,StoneBr,Ex,40.0,CompShg,CemntBd,PConc,TwnhsE,2000,0.0,,Fin,Gd,AllPub,1Story,None,Ex,0,TA,0,Gd,1,0,0,Unf,5,2000,2009,0,,59,1,Gable,Typ,TA,TA,1708,SBrkr,0,0,Norm,0,TA,212,RL,2,,2,5,GLQ,Pave,10,2.0,IR1,Lvl,GasA,Y,Gtl,CmentBd,499.0,1222,8,Attchd,5664,1,2000.0,120,252,2703,324261.0
47,Y,No,1321,Norm,Gd,Normal,1114,Inside,,WD,1,SawyerW,Ex,63.0,CompShg,VinylSd,PConc,1Fam,2005,0.0,,Unf,Gd,AllPub,1Story,None,,0,TA,0,Gd,0,0,0,Unf,6,2004,2009,0,,102,0,Gable,Typ,TA,TA,1321,SBrkr,0,0,RRAe,0,TA,248,RL,3,,1,5,Unf,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,576.0,0,7,Detchd,13072,1,2005.0,20,252,2158,193273.0
48,Y,No,545,Norm,TA,Normal,894,Inside,,WD,0,Sawyer,Gd,109.0,CompShg,VinylSd,CBlock,1Fam,1968,0.0,,Fin,TA,AllPub,1Story,None,Po,0,TA,0,Gd,0,0,0,Unf,5,1968,2007,0,,0,1,Gable,Typ,TA,TA,1101,SBrkr,0,0,Norm,0,TA,0,RL,3,,1,5,BLQ,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,450.0,556,5,Attchd,8724,1,1968.0,20,252,1938,160115.0
